,Team,Nickname,Conference
697,Kansas Wesleyan University,Coyotes,Kansas Collegiate Athletic Conference
698,Keiser University,Seahawks,The Sun Conference
699,Kentucky Christian University,Knights,Appalachian Athletic Conference
700,Langston University,Lions,Sooner Athletic Conference
701,Lawrence Technological University,Blue Devils,Mid-States Football Association
702,Lindsey Wilson College,Blue Raiders,Mid-South Conference
703,Louisiana Christian University,Wildcats,Sooner Athletic Conference
704,Madonna University,Crusaders,Mid-States Football Association
705,Marian University,Knights,Mid-States Football Association
706,Mayville State University,Comets,North Star Athletic Association
707,McPherson College,Bulldogs,Kansas Collegiate Athletic Conference
708,MidAmerica Nazarene University,Pioneers,Heart of America Athletic Conference
709,Midland University,Warriors,Great Plains Athletic Conference
710,Missouri Baptist University,Spartans,Heart of America Athletic Conference
711,Missouri Valley College,Vikings,Heart of America Athletic Conference
712,Montana State University–Northern,Lights,Frontier Conference
713,Montana Technological University,Orediggers,Frontier Conference
714,University of Montana Western,Bulldogs,Frontier Conference
715,Morningside University,Mustangs,Great Plains Athletic Conference
716,Mount Marty University,Lancers,Great Plains Athletic Conference
717,North American University,Stallions,Sooner Athletic Conference
718,Northwestern College,Red Raiders,Great Plains Athletic Conference
719,Oklahoma Panhandle State University,Aggies,Sooner Athletic Conference
720,Olivet Nazarene University,Tigers,Mid-States Football Association
721,Ottawa University,Braves,Kansas Collegiate Athletic Conference
722,Ottawa University Arizona,Spirit,Sooner Athletic Conference
723,Peru State College,Bobcats,Heart of America Athletic Conference
724,University of Pikeville,Bears,Appalachian Athletic Conference
725,Point University,Skyhawks,Appalachian Athletic Conference
726,Reinhardt University,Eagles,Appalachian Athletic Conference
727,Rocky Mountain College,Battlin' Bears,Frontier Conference
728,St. Ambrose University,Fighting Bees,Heart of America Athletic Conference
729,St. Andrews University,Knights,Appalachian Athletic Conference
730,University of St. Francis (Ill.),Fighting Saints,Mid-States Football Association
731,University of Saint Francis (Ind.),Cougars,Mid-States Football Association
732,University of Saint Mary,Spires,Kansas Collegiate Athletic Conference
733,Saint Thomas University,Bobcats,The Sun Conference
734,Saint Xavier University,Cougars,Mid-States Football Association
735,Siena Heights University,Saints,Mid-States Football Association
736,Simpson University,Red Hawks,TBD
737,Southeastern University,Fire,The Sun Conference
738,Southern Oregon University,Raiders,Frontier Conference
739,Southwestern Assemblies of God University,Lions,Sooner Athletic Conference
740,Southwestern College,Moundbuilders,Kansas Collegiate Athletic Conference
741,Sterling College,Warriors,Kansas Collegiate Athletic Conference
742,Tabor College,Bluejays,Kansas Collegiate Athletic Conference
743,Taylor University,Trojans,Mid-States Football Association
744,Texas College,Steers,Sooner Athletic Conference
745,Texas Wesleyan University,Rams,Sooner Athletic Conference
746,Thomas University,Night Hawks,The Sun Conference
747,Union College,Bulldogs,Appalachian Athletic Conference
748,Valley City State University,Vikings,North Star Athletic Association
749,Waldorf University,Warriors,Great Plains Athletic Conference
750,Warner University,Royals,The Sun Conference
751,Wayland Baptist University,Pioneers,Sooner Athletic Conference
752,Webber International University,Warriors,The Sun Conference
753,William Penn University,Statesmen,Heart of America Athletic Conference
754,William Woods University,Owls,Heart of America Athletic Conference
