,Team,Nickname,Conference
0,Adrian,Bulldogs,MIAA
1,Albion,Britons,MIAA
2,Albright,Lions,MAC
3,Alfred,Saxons,Empire 8
4,Alfred State,Pioneers,ECFC
5,Allegheny,Gators,PAC
6,Alma,Scots,MIAA
7,Alvernia,Golden Wolves,MAC
8,Amherst,Mammoths,NESCAC
9,Anderson,Ravens,HCAC
10,Anna Maria,Amcats,ECFC
11,Augsburg,Auggies,MIAC
12,Augustana (IL),Vikings,CCIW
13,Aurora,Spartans,NACC
14,Austin,Kangaroos,SCAC
15,Averett,Cougars,ODAC
16,Baldwin Wallace,Yellow Jackets,OAC
17,Bates,Bobcats,NESCAC
18,Belhaven,Blazers,USA South
19,Beloit,Buccaneers,MWC
20,Benedictine,Eagles,NACC
21,Berry,Vikings,SAA
22,Bethany,Bison,PAC
23,Bethel,Royals,MIAC
24,Bluffton,Beavers,HCAC
25,Bowdoin,Polar Bears,NESCAC
26,Brevard,Tornados,USA South
27,Bridgewater,Eagles,ODAC
28,Bridgewater State,Bears,MASCAC
29,Brockport,Golden Eagles,Empire 8
30,Buena Vista,Beavers,ARC
31,Buffalo State,Bengals,Liberty
32,Cal Lutheran,Kingsmen,SCIAC
33,Calvin,Knights,MIAA
34,Capital,Comets,OAC
35,Carleton,Knights,MIAC
36,Carnegie Mellon,Tartans,PAC
37,Carroll (WI),Pioneers,CCIW
38,Carthage,Firebirds,CCIW
39,Case Western Reserve,Spartans,PAC
40,Catholic University,Cardinals,Landmark
41,Centenary,Gentlemen,SCAC
42,Central (IA),Dutch,ARC
43,Centre,Colonels,SAA
44,Chapman,Panthers,SCIAC
45,Chicago,Maroons,MWC
46,Christopher Newport,Captains,NJAC
47,Claremont–Mudd–Scripps,Stags,SCIAC
48,Coast Guard,Bears,NEWMAC
49,Coe,Kohawks,ARC
50,Colby,Mules,NESCAC
51,TCNJ,Lions,NJAC
52,Concordia (IL),Cougars,NACC
53,Concordia (Moorhead),Cobbers,MIAC
54,Concordia (WI),Falcons,NACC
55,Cornell (IA),Rams,MWC
56,Cortland,Red Dragons,Empire 8
57,Crown,Storm,UMAC
58,Curry,Colonels,CCC
59,Dean,Bulldogs,ECFC
60,Delaware Valley,Aggies,MAC
61,Denison,Big Red,NCAC
62,DePauw,Tigers,NCAC
63,Dickinson,Red Devils,Centennial
64,Dubuque,Spartans,ARC
65,East Texas Baptist,Tigers,ASC
66,Eastern,Eagles,MAC
67,Elmhurst,Bluejays,CCIW
68,Endicott,Gulls,CCC
69,Eureka,Red Devils,NACC
70,Fairleigh Dickinson–Florham,Devils,MAC
71,Ferrum[i],Panthers,ODAC
72,Fitchburg State,Falcons,MASCAC
73,Framingham State,Rams,MASCAC
74,Franklin,Grizzlies,HCAC
75,Franklin & Marshall,Diplomats,Centennial
76,Gallaudet,Bison,ECFC
77,Geneva,Golden Tornadoes,PAC
78,George Fox,Bruins,NWC
79,Gettysburg,Bullets,Centennial
80,Greensboro,Pride,USA South
81,Greenville,Panthers,UMAC
82,Grinnell,Pioneers,MWC
83,Grove City,Wolverines,PAC
84,Guilford,Quakers,ODAC
85,Gustavus Adolphus,Gusties,MIAC
86,Hamilton,Continentals,NESCAC
87,Hamline,Pipers,MIAC
88,Hampden–Sydney,Tigers,ODAC
89,Hanover,Panthers,HCAC
90,Hardin–Simmons,Cowboys,ASC
91,Hartwick,Hawks,Empire 8
92,Heidelberg,Student Princes,OAC
93,Hendrix,Warriors,SAA
94,Hiram,Terriers,NCAC
95,Hilbert,Hawks,Empire 8
96,Hobart,Statesmen,Liberty
97,Hope,Flying Dutchmen,MIAA
98,Howard Payne,Yellow Jackets,ASC
99,Huntingdon,Hawks,USA South
100,Husson,Eagles,CCC
101,Illinois College,Blueboys,MWC
102,Illinois Wesleyan,Titans,CCIW
103,Ithaca,Bombers,Liberty
104,John Carroll,Blue Streaks,OAC
105,Johns Hopkins,Blue Jays,Centennial
106,Juniata,Eagles,Landmark
107,Kalamazoo,Hornets,MIAA
108,Kean,Cougars,NJAC
109,Kenyon,Owls,NCAC
110,Keystone,Giants,Landmark
111,King's,Monarchs,MAC
112,Knox,Prairie Fire,MWC
113,La Verne,Leopards,SCIAC
114,LaGrange,Panthers,USA South
115,Lake Forest,Foresters,MWC
116,Lakeland,Muskies,NACC
117,Lawrence,Vikings,MWC
118,Lebanon Valley,Flying Dutchmen,MAC
119,Lewis & Clark,Pioneers,NWC
120,Linfield,Wildcats,NWC
121,Loras,Duhawks,ARC
122,Luther,Norse,ARC
123,Lycoming,Warriors,Landmark
124,Lyon[m],Scots,SCAC
125,Macalester,Scots,MIAC
126,Manchester,Spartans,HCAC
127,Marietta,Pioneers,OAC
128,Martin Luther,Knights,UMAC
129,Mary Hardin–Baylor,Crusaders,ASC
130,Maryville (TN),Scots,USA South
131,UMass Dartmouth,Corsairs,MASCAC
132,Massachusetts Maritime,Buccaneers,MASCAC
133,McDaniel,Green Terror,Centennial
134,McMurry,War Hawks,SCAC
135,Merchant Marine,Mariners,NEWMAC
136,Methodist,Monarchs,USA South
137,Middlebury,Panthers,NESCAC
138,Millikin,Big Blue,CCIW
139,Millsaps,Majors,SAA
140,Minnesota Morris,Cougars,UMAC
141,Misericordia,Cougars,MAC
142,MIT,Engineers,NEWMAC
143,Monmouth (IL),Fighting Scots,MWC
144,Montclair State,Red Hawks,NJAC
145,Moravian,Greyhounds,Landmark
146,Mount Union,Purple Raiders,OAC
147,Mount St. Joseph,Lions,HCAC
148,Muhlenberg,Mules,Centennial
149,Muskingum,Fighting Muskies,OAC
150,Nebraska Wesleyan,Prairie Wolves,ARC
151,New England (ME),Nor'easters,CCC
152,Nichols,Bison,CCC
153,North Carolina Wesleyan,Battling Bishops,USA South
154,North Central (IL),Cardinals,CCIW
155,North Park,Vikings,CCIW
156,Northwestern (MN),Eagles,UMAC
157,Norwich,Cadets,NEWMAC
158,Oberlin,Yeomen,NCAC
159,Ohio Northern,Polar Bears,OAC
160,Ohio Wesleyan,Battling Bishops,NCAC
161,Olivet,Comets,MIAA
162,Otterbein,Cardinals,OAC
163,Pacific (OR),Boxers,NWC
164,Pacific Lutheran,Lutes,NWC
165,Plymouth State,Panthers,MASCAC
166,Pomona-Pitzer,Sagehens,SCIAC
167,Puget Sound,Loggers,NWC
168,Randolph–Macon,Yellow Jackets,ODAC
169,Redlands,Bulldogs,SCIAC
170,Rhodes,Lynx,SAA
171,Ripon,Red Hawks,MWC
172,Rochester,Yellowjackets,Liberty
173,Rockford,Regents,NACC
174,Rose–Hulman,Engineers,HCAC
175,Rowan,Profs,NJAC
176,RPI,Engineers,Liberty
177,St. John Fisher,Cardinals,Empire 8
178,Saint John's (MN),Johnnies,MIAC
179,St. Lawrence,Saints,Liberty
180,St. Norbert,Green Knights,NACC
181,St. Olaf,Oles,MIAC
182,St. Scholastica,Saints,MIAC
183,St. Vincent,Bearcats,PAC
184,Salisbury,Seagulls,NJAC
185,Salve Regina,Seahawks,NEWMAC
186,Sewanee,Tigers,SAA
187,Shenandoah,Hornets,ODAC
188,Simpson,Storm,ARC
189,Southern Virginia,Knights,USA South
190,Southwestern,Pirates,SAA
191,Springfield,Pride,NEWMAC
192,Stevenson,Mustangs,MAC
193,SUNY-Maritime,Privateers,NEWMAC
194,Morrisville,Mustangs,Empire 8
